2023-04-17 17:13:44,625 - lr:0.01,weight_decay:0.01,batch_size:20
2023-04-17 17:13:44,625 - CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (relu): ReLU(inplace=True)
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (gmp): MaxPool1d(kernel_size=1, stride=1, padding=0, dilation=1, ceil_mode=False)
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (fc1): Linear(in_features=36, out_features=64, bias=True)
  (fc2): Linear(in_features=64, out_features=2, bias=True)
)
2023-04-17 17:14:01,899 - Epoch:48/100,Train Accuracy:48.2835807800293%
2023-04-17 17:14:02,011 - Epoch:49/100,Train Accuracy:50.74626922607422%
2023-04-17 17:14:02,122 - Epoch:50/100,Train Accuracy:47.761192321777344%
2023-04-17 17:14:02,235 - Epoch:51/100,Train Accuracy:50.970149993896484%
2023-04-17 17:14:02,349 - Epoch:52/100,Train Accuracy:48.50746154785156%
2023-04-17 17:14:02,461 - Epoch:53/100,Train Accuracy:49.47761154174805%
2023-04-17 17:14:02,574 - Epoch:54/100,Train Accuracy:48.656715393066406%
2023-04-17 17:14:02,685 - Epoch:55/100,Train Accuracy:48.73134231567383%
2023-04-17 17:14:02,797 - Epoch:56/100,Train Accuracy:48.955223083496094%
2023-04-17 17:14:02,909 - Epoch:57/100,Train Accuracy:51.7164192199707%
2023-04-17 17:14:03,021 - Epoch:58/100,Train Accuracy:51.26865768432617%
2023-04-17 17:14:03,133 - Epoch:59/100,Train Accuracy:50.149253845214844%
2023-04-17 17:14:03,246 - Epoch:60/100,Train Accuracy:50.6716423034668%
2023-04-17 17:14:03,359 - Epoch:61/100,Train Accuracy:50.82089614868164%
2023-04-17 17:14:03,472 - Epoch:62/100,Train Accuracy:49.55223846435547%
2023-04-17 17:14:03,584 - Epoch:63/100,Train Accuracy:50.52238845825195%
2023-04-17 17:14:03,696 - Epoch:64/100,Train Accuracy:50.6716423034668%
2023-04-17 17:14:03,807 - Epoch:65/100,Train Accuracy:51.7164192199707%
2023-04-17 17:14:03,919 - Epoch:66/100,Train Accuracy:50.52238845825195%
2023-04-17 17:14:04,031 - Epoch:67/100,Train Accuracy:50.970149993896484%
2023-04-17 17:14:04,143 - Epoch:68/100,Train Accuracy:52.164180755615234%
2023-04-17 17:14:04,255 - Epoch:69/100,Train Accuracy:50.74626922607422%
2023-04-17 17:14:04,369 - Epoch:70/100,Train Accuracy:51.56716537475586%
2023-04-17 17:14:04,482 - Epoch:71/100,Train Accuracy:50.223880767822266%
2023-04-17 17:14:04,594 - Epoch:72/100,Train Accuracy:50.597015380859375%
2023-04-17 17:14:04,705 - Epoch:73/100,Train Accuracy:49.62686538696289%
2023-04-17 17:14:04,817 - Epoch:74/100,Train Accuracy:50.223880767822266%
2023-04-17 17:14:04,929 - Epoch:75/100,Train Accuracy:48.43283462524414%
2023-04-17 17:14:05,043 - Epoch:76/100,Train Accuracy:49.402984619140625%
2023-04-17 17:14:05,158 - Epoch:77/100,Train Accuracy:50.52238845825195%
2023-04-17 17:14:05,274 - Epoch:78/100,Train Accuracy:50.223880767822266%
2023-04-17 17:14:05,388 - Epoch:79/100,Train Accuracy:50.07462692260742%
2023-04-17 17:14:05,500 - Epoch:80/100,Train Accuracy:50.29850769042969%
2023-04-17 17:14:05,614 - Epoch:81/100,Train Accuracy:49.92537307739258%
2023-04-17 17:14:05,729 - Epoch:82/100,Train Accuracy:50.149253845214844%
2023-04-17 17:14:05,844 - Epoch:83/100,Train Accuracy:50.52238845825195%
2023-04-17 17:14:05,960 - Epoch:84/100,Train Accuracy:51.26865768432617%
2023-04-17 17:14:06,075 - Epoch:85/100,Train Accuracy:50.07462692260742%
2023-04-17 17:14:06,191 - Epoch:86/100,Train Accuracy:49.776119232177734%
2023-04-17 17:14:06,303 - Epoch:87/100,Train Accuracy:51.11940383911133%
2023-04-17 17:14:06,419 - Epoch:88/100,Train Accuracy:50.37313461303711%
2023-04-17 17:14:06,535 - Epoch:89/100,Train Accuracy:49.25373077392578%
2023-04-17 17:14:06,651 - Epoch:90/100,Train Accuracy:51.94029998779297%
2023-04-17 17:14:06,766 - Epoch:91/100,Train Accuracy:49.62686538696289%
2023-04-17 17:14:06,882 - Epoch:92/100,Train Accuracy:51.044776916503906%
2023-04-17 17:14:06,998 - Epoch:93/100,Train Accuracy:51.11940383911133%
2023-04-17 17:14:07,115 - Epoch:94/100,Train Accuracy:49.55223846435547%
2023-04-17 17:14:07,241 - Epoch:95/100,Train Accuracy:49.776119232177734%
2023-04-17 17:14:07,354 - Epoch:96/100,Train Accuracy:50.07462692260742%
2023-04-17 17:14:07,467 - Epoch:97/100,Train Accuracy:50.223880767822266%
2023-04-17 17:14:07,578 - Epoch:98/100,Train Accuracy:50.74626922607422%
2023-04-17 17:14:07,706 - Epoch:99/100,Train Accuracy:50.44776153564453%
2023-04-17 17:14:07,937 - 
Test set: Avg. loss: 0.0346, Accuracy: 339/660 (51.36%)

2023-04-17 17:14:07,940 - fpr:[0.         0.99059561 1.        ],tpr:[0.         0.98533724 1.        ],threshold:[2 1 0],auc:0.49737081605824657
2023-04-17 17:14:07,940 - This is for user12
