2023-04-05 22:14:10,524 - lr:0.001,weight_decay:0.01,batch_size:20
2023-04-05 22:14:10,524 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(1,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv4): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=150, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 22:15:15,324 - Epoch:5/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:15,579 - Epoch:6/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:15,842 - Epoch:7/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:16,100 - Epoch:8/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:16,365 - Epoch:9/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:16,626 - Epoch:10/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:16,881 - Epoch:11/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:17,151 - Epoch:12/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:17,418 - Epoch:13/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:17,677 - Epoch:14/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:17,933 - Epoch:15/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:18,195 - Epoch:16/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:18,456 - Epoch:17/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:18,720 - Epoch:18/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:18,981 - Epoch:19/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:19,261 - Epoch:20/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:19,522 - Epoch:21/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:19,786 - Epoch:22/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:20,044 - Epoch:23/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:20,303 - Epoch:24/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:20,568 - Epoch:25/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:20,834 - Epoch:26/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:21,098 - Epoch:27/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:21,359 - Epoch:28/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:21,615 - Epoch:29/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:21,875 - Epoch:30/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:22,137 - Epoch:31/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:22,396 - Epoch:32/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:22,653 - Epoch:33/50,Train Accuracy:50.82089614868164%
