2023-04-05 21:56:23,729 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-05 21:56:23,729 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=111, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 21:57:00,742 - Epoch:41/200,Train Accuracy:51.26865768432617%
2023-04-05 21:57:00,899 - Epoch:42/200,Train Accuracy:50.82089614868164%
2023-04-05 21:57:01,064 - Epoch:43/200,Train Accuracy:49.17910385131836%
2023-04-05 21:57:01,222 - Epoch:44/200,Train Accuracy:50.82089614868164%
2023-04-05 21:57:01,394 - Epoch:45/200,Train Accuracy:50.29850769042969%
2023-04-05 21:57:01,582 - Epoch:46/200,Train Accuracy:50.0%
2023-04-05 21:57:01,790 - Epoch:47/200,Train Accuracy:49.92537307739258%
2023-04-05 21:57:01,999 - Epoch:48/200,Train Accuracy:50.29850769042969%
2023-04-05 21:57:02,209 - Epoch:49/200,Train Accuracy:49.62686538696289%
2023-04-05 21:57:02,379 - Epoch:50/200,Train Accuracy:48.35820770263672%
2023-04-05 21:57:02,542 - Epoch:51/200,Train Accuracy:51.64179229736328%
2023-04-05 21:57:02,701 - Epoch:52/200,Train Accuracy:51.044776916503906%
2023-04-05 21:57:02,864 - Epoch:53/200,Train Accuracy:49.029850006103516%
2023-04-05 21:57:03,018 - Epoch:54/200,Train Accuracy:49.776119232177734%
2023-04-05 21:57:03,157 - Epoch:55/200,Train Accuracy:50.970149993896484%
2023-04-05 21:57:03,295 - Epoch:56/200,Train Accuracy:48.50746154785156%
2023-04-05 21:57:03,433 - Epoch:57/200,Train Accuracy:49.25373077392578%
2023-04-05 21:57:03,572 - Epoch:58/200,Train Accuracy:48.88059616088867%
2023-04-05 21:57:03,712 - Epoch:59/200,Train Accuracy:51.26865768432617%
2023-04-05 21:57:03,851 - Epoch:60/200,Train Accuracy:50.223880767822266%
2023-04-05 21:57:03,992 - Epoch:61/200,Train Accuracy:52.164180755615234%
2023-04-05 21:57:04,133 - Epoch:62/200,Train Accuracy:51.49253845214844%
2023-04-05 21:57:04,275 - Epoch:63/200,Train Accuracy:50.149253845214844%
2023-04-05 21:57:04,415 - Epoch:64/200,Train Accuracy:51.86567306518555%
2023-04-05 21:57:04,555 - Epoch:65/200,Train Accuracy:51.26865768432617%
2023-04-05 21:57:04,695 - Epoch:66/200,Train Accuracy:50.37313461303711%
2023-04-05 21:57:04,835 - Epoch:67/200,Train Accuracy:52.761192321777344%
2023-04-05 21:57:04,975 - Epoch:68/200,Train Accuracy:47.91044616699219%
2023-04-05 21:57:05,116 - Epoch:69/200,Train Accuracy:51.044776916503906%
