2023-04-20 21:52:34,926 - lr:1e-05,weight_decay:0.01,batch_size:40
2023-04-20 21:52:34,926 - CZHNet(
  (linear1): Linear(in_features=33, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=40, bias=True)
  (linear8): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-20 22:18:29,713 - Epoch:4/100,Train Accuracy:50.0%
2023-04-20 22:18:36,458 - Epoch:5/100,Train Accuracy:50.0%
2023-04-20 22:18:43,189 - Epoch:6/100,Train Accuracy:50.0%
2023-04-20 22:18:49,957 - Epoch:7/100,Train Accuracy:49.93361282348633%
2023-04-20 22:18:56,716 - Epoch:8/100,Train Accuracy:50.0%
2023-04-20 22:19:03,477 - Epoch:9/100,Train Accuracy:50.0%
2023-04-20 22:19:10,266 - Epoch:10/100,Train Accuracy:50.0%
2023-04-20 22:19:17,014 - Epoch:11/100,Train Accuracy:50.0%
2023-04-20 22:19:23,860 - Epoch:12/100,Train Accuracy:50.0%
2023-04-20 22:19:30,575 - Epoch:13/100,Train Accuracy:50.0%
2023-04-20 22:19:37,294 - Epoch:14/100,Train Accuracy:50.0%
2023-04-20 22:19:44,035 - Epoch:15/100,Train Accuracy:49.840667724609375%
2023-04-20 22:19:50,940 - Epoch:16/100,Train Accuracy:50.0%
