2023-04-21 15:03:52,122 - lr:0.001,weight_decay:0.01,batch_size:64
2023-04-21 15:03:52,122 - CZHNet(
  (linear1): Linear(in_features=33, out_features=32, bias=True)
  (linear2): Linear(in_features=32, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=64, bias=True)
  (linear4): Linear(in_features=64, out_features=32, bias=True)
  (linear5): Linear(in_features=64, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=32, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-21 15:03:52,122 - This is for user0
2023-04-21 15:11:18,695 - Epoch:25/100,Train Accuracy:64.2229995727539%
2023-04-21 15:11:20,450 - Epoch:26/100,Train Accuracy:64.42538452148438%
2023-04-21 15:11:22,221 - Epoch:27/100,Train Accuracy:64.543701171875%
2023-04-21 15:11:23,980 - Epoch:28/100,Train Accuracy:64.651123046875%
2023-04-21 15:11:25,733 - Epoch:29/100,Train Accuracy:64.68848419189453%
2023-04-21 15:11:27,529 - Epoch:30/100,Train Accuracy:64.8768539428711%
2023-04-21 15:11:29,285 - Epoch:31/100,Train Accuracy:65.06678771972656%
2023-04-21 15:11:31,034 - Epoch:32/100,Train Accuracy:65.28006744384766%
2023-04-21 15:11:32,797 - Epoch:33/100,Train Accuracy:65.17109680175781%
2023-04-21 15:11:34,551 - Epoch:34/100,Train Accuracy:65.50580596923828%
2023-04-21 15:11:36,308 - Epoch:35/100,Train Accuracy:65.60388946533203%
2023-04-21 15:11:38,074 - Epoch:36/100,Train Accuracy:65.6786117553711%
2023-04-21 15:11:39,823 - Epoch:37/100,Train Accuracy:65.87944030761719%
2023-04-21 15:11:41,587 - Epoch:38/100,Train Accuracy:65.87165832519531%
2023-04-21 15:11:43,339 - Epoch:39/100,Train Accuracy:66.02889251708984%
2023-04-21 15:11:45,129 - Epoch:40/100,Train Accuracy:66.15499877929688%
2023-04-21 15:11:46,873 - Epoch:41/100,Train Accuracy:66.48348236083984%
2023-04-21 15:11:48,636 - Epoch:42/100,Train Accuracy:66.30912017822266%
2023-04-21 15:11:50,389 - Epoch:43/100,Train Accuracy:66.50994873046875%
2023-04-21 15:11:52,143 - Epoch:44/100,Train Accuracy:66.59712982177734%
2023-04-21 15:11:53,907 - Epoch:45/100,Train Accuracy:66.4865951538086%
2023-04-21 15:11:55,660 - Epoch:46/100,Train Accuracy:66.66407012939453%
2023-04-21 15:11:57,423 - Epoch:47/100,Train Accuracy:66.78861999511719%
2023-04-21 15:11:59,185 - Epoch:48/100,Train Accuracy:67.1747055053711%
2023-04-21 15:12:00,945 - Epoch:49/100,Train Accuracy:67.16692352294922%
2023-04-21 15:12:02,707 - Epoch:50/100,Train Accuracy:67.09375%
2023-04-21 15:12:04,462 - Epoch:51/100,Train Accuracy:67.22919464111328%
2023-04-21 15:12:06,214 - Epoch:52/100,Train Accuracy:67.59660339355469%
2023-04-21 15:12:07,974 - Epoch:53/100,Train Accuracy:67.24320220947266%
2023-04-21 15:12:09,772 - Epoch:54/100,Train Accuracy:67.53121185302734%
2023-04-21 15:12:11,528 - Epoch:55/100,Train Accuracy:67.62462615966797%
2023-04-21 15:12:13,277 - Epoch:56/100,Train Accuracy:67.68378448486328%
2023-04-21 15:12:15,031 - Epoch:57/100,Train Accuracy:67.69001007080078%
2023-04-21 15:12:16,780 - Epoch:58/100,Train Accuracy:67.65576171875%
2023-04-21 15:12:18,530 - Epoch:59/100,Train Accuracy:67.84101867675781%
2023-04-21 15:12:20,286 - Epoch:60/100,Train Accuracy:67.89862060546875%
2023-04-21 15:12:22,056 - Epoch:61/100,Train Accuracy:67.8565902709961%
2023-04-21 15:12:23,810 - Epoch:62/100,Train Accuracy:68.17417907714844%
2023-04-21 15:12:25,557 - Epoch:63/100,Train Accuracy:67.88304901123047%
2023-04-21 15:12:27,333 - Epoch:64/100,Train Accuracy:68.02316284179688%
2023-04-21 15:12:29,130 - Epoch:65/100,Train Accuracy:68.13369750976562%
2023-04-21 15:12:30,926 - Epoch:66/100,Train Accuracy:68.13681030273438%
2023-04-21 15:12:32,735 - Epoch:67/100,Train Accuracy:68.28314971923828%
2023-04-21 15:12:34,529 - Epoch:68/100,Train Accuracy:68.32207489013672%
2023-04-21 15:12:36,283 - Epoch:69/100,Train Accuracy:68.16327667236328%
2023-04-21 15:12:38,054 - Epoch:70/100,Train Accuracy:68.77198791503906%
2023-04-21 15:12:39,820 - Epoch:71/100,Train Accuracy:68.37033081054688%
2023-04-21 15:12:41,591 - Epoch:72/100,Train Accuracy:68.48397827148438%
2023-04-21 15:12:43,347 - Epoch:73/100,Train Accuracy:68.55403900146484%
2023-04-21 15:12:45,146 - Epoch:74/100,Train Accuracy:68.58984375%
2023-04-21 15:12:46,900 - Epoch:75/100,Train Accuracy:68.602294921875%
2023-04-21 15:12:48,655 - Epoch:76/100,Train Accuracy:68.88407897949219%
2023-04-21 15:12:50,406 - Epoch:77/100,Train Accuracy:68.54780578613281%
2023-04-21 15:12:52,155 - Epoch:78/100,Train Accuracy:68.81558227539062%
2023-04-21 15:12:53,917 - Epoch:79/100,Train Accuracy:68.79534149169922%
2023-04-21 15:12:55,670 - Epoch:80/100,Train Accuracy:68.69103240966797%
2023-04-21 15:12:57,439 - Epoch:81/100,Train Accuracy:68.86072540283203%
2023-04-21 15:12:59,193 - Epoch:82/100,Train Accuracy:68.8622817993164%
2023-04-21 15:13:00,949 - Epoch:83/100,Train Accuracy:68.95413970947266%
2023-04-21 15:13:02,718 - Epoch:84/100,Train Accuracy:68.98838806152344%
2023-04-21 15:13:04,467 - Epoch:85/100,Train Accuracy:68.98216247558594%
2023-04-21 15:13:06,221 - Epoch:86/100,Train Accuracy:69.0506591796875%
