2023-04-19 11:19:26,877 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-19 11:19:26,877 - LSTMModel(
  (input_layer): Linear(in_features=39, out_features=128, bias=True)
  (lstm_layers): LSTM(128, 128, num_layers=3, batch_first=True)
  (dropout_layer): Dropout(p=0.5, inplace=False)
  (bn_layer): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc_layer): Linear(in_features=128, out_features=64, bias=True)
  (softmax_layer): Linear(in_features=64, out_features=2, bias=True)
  (softmax): Softmax(dim=1)
)
2023-04-19 11:19:26,877 - This is for user7
2023-04-19 11:22:51,117 - Epoch:180/200,Train Accuracy:68.58209228515625%
2023-04-19 11:22:52,312 - Epoch:181/200,Train Accuracy:68.58209228515625%
2023-04-19 11:22:53,528 - Epoch:182/200,Train Accuracy:68.35820770263672%
2023-04-19 11:22:54,767 - Epoch:183/200,Train Accuracy:68.6567153930664%
2023-04-19 11:22:55,977 - Epoch:184/200,Train Accuracy:68.6567153930664%
2023-04-19 11:22:57,195 - Epoch:185/200,Train Accuracy:68.6567153930664%
2023-04-19 11:22:58,418 - Epoch:186/200,Train Accuracy:68.58209228515625%
2023-04-19 11:22:59,650 - Epoch:187/200,Train Accuracy:68.58209228515625%
2023-04-19 11:23:00,865 - Epoch:188/200,Train Accuracy:68.80596923828125%
2023-04-19 11:23:02,075 - Epoch:189/200,Train Accuracy:68.6567153930664%
2023-04-19 11:23:03,307 - Epoch:190/200,Train Accuracy:68.50746154785156%
2023-04-19 11:23:04,509 - Epoch:191/200,Train Accuracy:68.6567153930664%
2023-04-19 11:23:05,711 - Epoch:192/200,Train Accuracy:63.88059616088867%
2023-04-19 11:23:06,925 - Epoch:193/200,Train Accuracy:63.05970001220703%
2023-04-19 11:23:08,141 - Epoch:194/200,Train Accuracy:62.68656539916992%
2023-04-19 11:23:09,336 - Epoch:195/200,Train Accuracy:62.761192321777344%
2023-04-19 11:23:10,532 - Epoch:196/200,Train Accuracy:62.761192321777344%
2023-04-19 11:23:11,767 - Epoch:197/200,Train Accuracy:62.91044616699219%
2023-04-19 11:23:12,979 - Epoch:198/200,Train Accuracy:62.68656539916992%
2023-04-19 11:23:14,178 - Epoch:199/200,Train Accuracy:62.6119384765625%
2023-04-19 11:23:14,477 - 
Test set: Avg. loss: -0.0321, Accuracy: 424/660 (64.24%)

2023-04-19 11:23:14,480 - fpr:[0.         0.53918495 1.        ],tpr:[0.         0.81231672 1.        ],threshold:[2 1 0],auc:0.6365658812822328
2023-04-19 11:23:14,481 - This is for user9
2023-04-19 11:23:15,976 - Epoch:0/200,Train Accuracy:70.29850769042969%
2023-04-19 11:23:17,256 - Epoch:1/200,Train Accuracy:70.29850769042969%
2023-04-19 11:23:18,520 - Epoch:2/200,Train Accuracy:70.223876953125%
2023-04-19 11:23:19,772 - Epoch:3/200,Train Accuracy:70.223876953125%
2023-04-19 11:23:21,038 - Epoch:4/200,Train Accuracy:70.14925384521484%
2023-04-19 11:23:22,296 - Epoch:5/200,Train Accuracy:70.14925384521484%
2023-04-19 11:23:23,557 - Epoch:6/200,Train Accuracy:70.07462310791016%
2023-04-19 11:23:24,840 - Epoch:7/200,Train Accuracy:70.0%
2023-04-19 11:23:26,102 - Epoch:8/200,Train Accuracy:69.92537689208984%
2023-04-19 11:23:27,367 - Epoch:9/200,Train Accuracy:70.0%
