2023-04-19 16:18:36,706 - lr:0.001,weight_decay:1e-06,batch_size:20
2023-04-19 16:18:36,707 - LSTM_RNN(
  (lstm): LSTM(39, 256, num_layers=3, batch_first=True, dropout=0.5)
  (batch_norm): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (lin): Linear(in_features=256, out_features=64, bias=True)
  (lin2): Linear(in_features=64, out_features=64, bias=True)
  (output_layer): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-19 16:24:40,187 - Epoch:172/200,Train Accuracy:68.05970001220703%
2023-04-19 16:24:42,456 - Epoch:173/200,Train Accuracy:69.40298461914062%
2023-04-19 16:24:44,661 - Epoch:174/200,Train Accuracy:71.0447769165039%
2023-04-19 16:24:46,964 - Epoch:175/200,Train Accuracy:68.88059997558594%
2023-04-19 16:24:49,374 - Epoch:176/200,Train Accuracy:70.14925384521484%
2023-04-19 16:24:51,440 - Epoch:177/200,Train Accuracy:69.40298461914062%
2023-04-19 16:24:53,584 - Epoch:178/200,Train Accuracy:69.70149230957031%
2023-04-19 16:24:55,679 - Epoch:179/200,Train Accuracy:68.58209228515625%
2023-04-19 16:24:57,758 - Epoch:180/200,Train Accuracy:68.50746154785156%
2023-04-19 16:24:59,868 - Epoch:181/200,Train Accuracy:70.37313079833984%
2023-04-19 16:25:02,032 - Epoch:182/200,Train Accuracy:68.4328384399414%
2023-04-19 16:25:04,167 - Epoch:183/200,Train Accuracy:70.59701538085938%
2023-04-19 16:25:06,261 - Epoch:184/200,Train Accuracy:69.17910766601562%
2023-04-19 16:25:08,362 - Epoch:185/200,Train Accuracy:69.776123046875%
2023-04-19 16:25:10,459 - Epoch:186/200,Train Accuracy:72.01492309570312%
2023-04-19 16:25:12,599 - Epoch:187/200,Train Accuracy:69.62686920166016%
2023-04-19 16:25:14,732 - Epoch:188/200,Train Accuracy:69.25373077392578%
2023-04-19 16:25:16,828 - Epoch:189/200,Train Accuracy:69.17910766601562%
2023-04-19 16:25:18,927 - Epoch:190/200,Train Accuracy:70.67163848876953%
2023-04-19 16:25:21,027 - Epoch:191/200,Train Accuracy:70.14925384521484%
2023-04-19 16:25:23,095 - Epoch:192/200,Train Accuracy:70.223876953125%
2023-04-19 16:25:25,146 - Epoch:193/200,Train Accuracy:69.47761535644531%
2023-04-19 16:25:27,203 - Epoch:194/200,Train Accuracy:71.3432846069336%
2023-04-19 16:25:29,290 - Epoch:195/200,Train Accuracy:68.9552230834961%
2023-04-19 16:25:31,356 - Epoch:196/200,Train Accuracy:70.07462310791016%
2023-04-19 16:25:33,438 - Epoch:197/200,Train Accuracy:69.92537689208984%
2023-04-19 16:25:35,490 - Epoch:198/200,Train Accuracy:70.223876953125%
2023-04-19 16:25:37,556 - Epoch:199/200,Train Accuracy:70.0%
2023-04-19 16:25:37,874 - 
Test set: Avg. loss: 0.0263, Accuracy: 476/660 (72.12%)

2023-04-19 16:25:37,877 - fpr:[0.         0.45141066 1.        ],tpr:[0.         0.88269795 1.        ],threshold:[2 1 0],auc:0.7156436444534331
2023-04-19 16:25:37,877 - This is for user9
2023-04-19 16:25:40,136 - Epoch:0/200,Train Accuracy:69.92537689208984%
2023-04-19 16:25:42,226 - Epoch:1/200,Train Accuracy:72.98507690429688%
2023-04-19 16:25:44,283 - Epoch:2/200,Train Accuracy:75.0%
2023-04-19 16:25:46,300 - Epoch:3/200,Train Accuracy:77.46268463134766%
2023-04-19 16:25:48,336 - Epoch:4/200,Train Accuracy:76.41790771484375%
2023-04-19 16:25:50,368 - Epoch:5/200,Train Accuracy:79.02985382080078%
2023-04-19 16:25:52,418 - Epoch:6/200,Train Accuracy:77.53731536865234%
2023-04-19 16:25:54,495 - Epoch:7/200,Train Accuracy:79.17910766601562%
2023-04-19 16:25:56,582 - Epoch:8/200,Train Accuracy:79.62686920166016%
2023-04-19 16:25:58,697 - Epoch:9/200,Train Accuracy:77.08955383300781%
2023-04-19 16:26:00,835 - Epoch:10/200,Train Accuracy:77.76119232177734%
2023-04-19 16:26:02,994 - Epoch:11/200,Train Accuracy:77.91044616699219%
2023-04-19 16:26:05,073 - Epoch:12/200,Train Accuracy:79.17910766601562%
2023-04-19 16:26:07,187 - Epoch:13/200,Train Accuracy:79.25373077392578%
2023-04-19 16:26:09,236 - Epoch:14/200,Train Accuracy:78.58209228515625%
2023-04-19 16:26:11,327 - Epoch:15/200,Train Accuracy:77.68656921386719%
2023-04-19 16:26:13,431 - Epoch:16/200,Train Accuracy:79.10447692871094%
2023-04-19 16:26:15,527 - Epoch:17/200,Train Accuracy:79.32836151123047%
2023-04-19 16:26:17,618 - Epoch:18/200,Train Accuracy:80.97014617919922%
2023-04-19 16:26:19,709 - Epoch:19/200,Train Accuracy:80.0%
2023-04-19 16:26:21,785 - Epoch:20/200,Train Accuracy:80.0%
2023-04-19 16:26:23,895 - Epoch:21/200,Train Accuracy:80.37313079833984%
2023-04-19 16:26:25,984 - Epoch:22/200,Train Accuracy:79.62686920166016%
2023-04-19 16:26:28,079 - Epoch:23/200,Train Accuracy:80.29850769042969%
2023-04-19 16:26:30,130 - Epoch:24/200,Train Accuracy:81.19403076171875%
2023-04-19 16:26:32,177 - Epoch:25/200,Train Accuracy:79.92537689208984%
2023-04-19 16:26:34,290 - Epoch:26/200,Train Accuracy:80.82089233398438%
2023-04-19 16:26:36,365 - Epoch:27/200,Train Accuracy:80.52238464355469%
2023-04-19 16:26:38,409 - Epoch:28/200,Train Accuracy:80.07462310791016%
